1778683652.524937,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.5253272,-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.5257258,-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.526119,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004
1778683652.526516,-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.526906,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.527303,-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004	-0.0004
1778683652.527689,-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004
1778683652.528076,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.528451,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.528851,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004
1778683652.529227,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.529608,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.5299861,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.530369,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.530747,-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.531154,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.531533,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1778683652.531923,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.5323,-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.532676,-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004
1778683652.533052,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004
